key                             	LEVEL	LMIN	LMAX	DMIN	DMAX	AC	TOHIT	SPEED	ATTFRE	CHAAPP	CNTAPP	ATTSPD
DRAGONKNIGHT3                   	     9	    39	    41	     9	    13	    32	    15	   940	    40	     7	     1	    20
DRAGONKNIGHT4                   	    11	    48	    50	    11	    15	    40	    20	   940	    40	     7	     1	    20
DRUIDEVIL                       	    -1	     4	     8	    30	    40	    20	    50	   400	    70	    11	     3	    20
DRUIDINVOK                      	    -1	     4	     8	     1	     4	    10	    50	   400	    60	    11	     3	    20
DRUIDMEDIT                      	    -1	     4	     8	     1	     4	    10	    50	   400	    60	    11	     3	    20
ENFANT                          	    -1	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
ERALDUS                         	    -1	   150	   200	    20	    40	    10	    70	   500	    50	     9	     1	    20
EYE1                            	    30	    96	    98	    30	    35	    94	    48	   540	    80	     8	     1	    20
EYE2                            	    28	    93	    95	    28	    33	    94	    46	   540	    80	     8	     1	    20
EYE3                            	    26	    86	    88	    26	    31	    94	    43	   540	    80	     8	     1	    20
EYE4                            	    24	    83	    91	    24	    28	    94	    40	   540	    80	     8	     1	    20
FANTOME                         	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
FELDERDRUIDE                    	    -1	   130	   150	    30	    40	    40	    50	   400	    70	    11	     3	    20
FLY1                            	     1	     1	     2	     1	     3	     4	     4	   800	    60	    14	     3	    16
FLY2                            	     2	     5	     7	     2	     4	    10	     5	   800	    60	     7	     4	    16
FLY3                            	     7	    20	    22	     4	     8	    25	    12	   800	    40	    10	    60	    14
FLY4                            	    10	    35	    37	     6	    10	    38	    18	   800	    40	     8	    60	    14
FLY5                            	    -1	     2	     4	    10	    28	    20	    40	   800	    60	    14	     4	    16
FLY6                            	    -1	     2	     4	    10	    28	    20	    40	   800	    60	    14	     4	    16
FLY7                            	    -1	     2	     4	    10	    28	    20	    40	   800	    60	    14	     4	    16
FLY8                            	    -1	     2	     4	    10	    28	    20	    40	   800	    60	    14	     4	    16
FPANIER                         	     0	    10	    20	    25	    30	    25	    30	    50	    40	     2	    20	     2
FPNJ1                           	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
FPNJ2                           	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
GOBELIN                         	     1	     1	     3	     1	     5	     4	     4	   400	    60	    25	     3	    16
GOBELIN2                        	     3	     7	     9	     3	     7	    11	     6	   400	    60	    15	     3	    16
GOBELIN3                        	     2	     7	     9	     2	     6	    10	     5	   400	    60	    15	     3	    16
GOBELIN4                        	     4	    16	    18	     4	     8	    16	     8	   400	    60	    15	     3	    16
GOLEMFIRE                       	    30	   102	   130	    30	    35	    94	    49	   400	    75	    10	     2	    15
GOLEMFIRERIK                    	    -1	   150	   150	     4	     6	    15	    50	   400	    55	     9	     2	    15
GOLEMICE                        	    26	    92	    98	    26	    31	    87	    43	   400	    75	     9	     2	    15
GOLEMICERIK                     	    -1	   200	   200	     5	     8	    20	    70	   600	    60	     9	     2	    15
GUIDE                           	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
HORGAN                          	    -1	   100	   200	    25	    30	    50	    40	   100	    20	     2	     1	    20
KIRGARD                         	    -1	   800	  1000	    30	    60	    60	    50	   400	    80	     9	     1	    12
LICORNE                         	     0	     1	     5	     0	     0	     0	     0	   400	     0	     0	     1	     0
LUX                             	    -1	  1400	  1600	    16	    32	    80	    80	   450	    90	     9	     1	    10
MEDUSEA                         	    -1	   100	   150	    20	    30	    10	    50	   600	    60	    11	     3	    20
MEDUSEB                         	    30	   100	   130	    20	    30	    10	    50	   600	    60	    10	     3	    20
MINEUR1                         	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
MINEUR2                         	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
MISTVYVERN1                     	    17	    59	    61	    17	    21	    59	    28	   480	    80	     6	     1	    12
MISTVYVERN2                     	    22	    77	    83	    22	    26	    74	    37	   480	    80	     6	     1	    12
MISTVYVERN3                     	    24	    85	    91	    24	    28	    80	    40	   480	    80	     6	     1	    12
MISTVYVERN4                     	    29	    97	   101	    29	    34	    92	    47	    60	    40	    10	    80	     6
ORC                             	     6	    36	    38	     6	    10	    23	    11	   400	    60	    10	     1	    16
ORC2                            	     5	    30	    32	     5	     9	    17	     9	   400	    60	     6	     1	    16
PAYSAN                          	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ1                            	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ2                            	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ3                            	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ4                            	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ5                            	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ6                            	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ7                            	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ8                            	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJ9                            	     0	    10	    20	    25	    30	    25	    30	    50	    40	   400	    20	     2
PNJHACHE                        	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJMOINE                        	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
PNJSAGE                         	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
PORTEUR1                        	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
PORTEUR2                        	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
POULET                          	     0	     1	     5	     0	     0	     0	     0	   400	     0	     0	     1	     0
PROF1                           	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
QUESTRATLORD1                   	    -1	   800	  1000	    16	    24	    40	    50	   400	    90	     6	     1	    16
QUESTSKELETON                   	    -1	  1000	  1200	    16	    28	    80	    70	   400	    90	     7	     1	    18
QUESTVAMPIRE                    	    -1	  1200	  1400	    16	    32	    80	    80	   400	    90	     9	     1	    10
RATMAN                          	     3	    11	    13	     3	     7	    11	     6	   350	    50	    15	     2	    20
RATMAN2                         	     5	    18	    20	     5	     9	    17	     9	   350	    50	     9	     1	    20
RATMAN3                         	     7	    22	    24	     7	    11	    25	    12	   350	    50	    10	     1	    20
RATMAN4                         	     8	    31	    33	     8	    12	    28	    14	   350	    50	     9	     1	    20
RATMANCRASY1                    	     7	    24	    26	     7	    11	    25	    12	   400	    75	    10	     1	    18
RATMANCRASY2                    	    11	    36	    38	    11	    15	    40	    20	   400	    75	     7	     1	    18
RATMANCRASY3                    	     9	    31	    33	     9	    13	    32	    15	   400	    75	     7	     1	    18
RATMANCRASY4                    	    10	    37	    39	    10	    14	    38	    18	   400	    75	     7	     1	    18
RATMANLORD1                     	     9	    43	    45	     9	    13	    32	    15	   400	    80	     6	     1	    16
RATMANLORD2                     	    11	    50	    52	    11	    15	    40	    20	   400	    80	     6	     1	    16
RATMANLORD3                     	    12	    54	    56	    12	    16	    44	    22	   400	    80	     6	     1	    16
RATMANLORD4                     	    13	    54	    56	    13	    17	    45	    23	   400	    80	     6	     1	    16
RATMANLORD4SPEED                	    -1	   150	   200	    25	    40	    80	    70	  2000	    90	     9	     2	    10
ROLLAND                         	    -1	  1200	  1400	    24	    32	    80	   100	   560	    80	     7	     3	    16
ROLLANDLC                       	    -1	  1200	  1400	    24	    32	    80	   100	   560	    80	     7	     1	    16
SCORPION1                       	    12	    42	    44	    12	    16	    44	    22	   600	    65	     8	     1	    16
SCORPION2                       	    14	    49	    51	     9	    13	    50	    25	   600	    70	     8	     1	    16
SCORPION3                       	    20	    69	    71	    15	    19	    68	    34	   800	    75	     8	     1	    16
SCORPION4                       	    25	    86	    88	    25	    29	    82	    41	   800	    80	     8	     1	    16
SHADIRE                         	    -1	   100	   200	    25	    30	    50	    40	   100	    20	     2	     1	    20
SKELETON1                       	     1	     2	     4	     1	     5	     8	     4	   400	    60	    15	     3	    20
SKELETON2                       	     3	     9	    11	     3	     7	    11	     6	   400	    50	    15	    60	    11
SKELETON3                       	     5	    16	    18	     5	     9	    17	     9	   400	    60	    11	     3	    20
SKELETON4                       	    11	    34	    36	    11	    15	    40	    20	   400	    60	     5	     3	    20
SKELETONB1                      	     2	     9	    11	     2	     6	    10	     5	   400	    65	     9	     2	    14
SKELETONB2                      	     4	    18	    20	     4	     8	    16	     8	   400	    65	     9	     2	    14
SKELETONB3                      	     6	    22	    24	     6	    10	    23	    11	   400	    65	     9	     2	    14
SKELETONB4                      	    13	    42	    44	    13	    17	    45	    23	   400	    65	     9	     2	    14
SKELETONB4R                     	    13	    42	    44	    13	    17	    45	    23	   400	    65	     9	     2	    14
SKELETONLC22                    	    -1	   600	   800	    16	    28	    80	    70	   400	    90	     7	     1	    18
SKELETONP1                      	     9	    27	    29	     9	    13	    32	    15	   500	    50	     9	     2	    20
SKELETONP2                      	     8	    29	    31	     8	    12	    28	    14	   500	    50	     9	     2	    20
SKELETONP3                      	    17	    55	    57	    17	    21	    59	    28	   500	    50	     9	     2	    20
SKELETONP4                      	    16	    55	    57	    16	    20	    57	    26	   500	    50	     9	     2	    20
SKELETONX1                      	    15	    51	    53	    15	    19	    54	    26	   560	    75	     7	     1	    12
SKELETONX2                      	    19	    65	    67	    19	    23	    64	    32	   560	    80	     7	     1	    12
SKELETONX3                      	    21	    69	    71	    21	    25	    70	    35	   560	    80	     7	     1	    12
SKELETONX4                      	    18	    61	    63	    18	    22	    62	    31	   560	    80	     7	     1	    12
SKELETONX5                      	    18	    63	    65	    18	    22	    62	    31	   560	    80	     7	     1	    12
SNAKEAP1                        	    16	    51	    53	    11	    15	    57	    26	   800	    60	     8	     1	    16
SNAKEAP2                        	    17	    53	    55	    12	    16	    59	    28	   800	    60	     8	     1	    16
SNAKEAP3                        	    18	    59	    61	    13	    17	    62	    31	   800	    60	     8	     1	    16
SNAKEAP4                        	    19	    61	    63	    14	    19	    64	    32	   800	    60	     8	     1	    20
SNAKEXP1                        	    25	    84	    86	    20	    24	    82	    41	   800	    60	     8	     1	    20
SNAKEXP2                        	    26	    86	    88	    26	    31	    87	    43	   800	    60	     8	     1	    20
SNAKEXP3                        	    27	    88	    90	    22	    27	    89	    44	   800	    60	     8	     1	    20
SNAKEXP4                        	    28	    95	    97	    23	    28	    92	    46	   800	    60	     8	     1	    20
SPECTRE0                        	    26	    88	    90	    26	    31	    87	    43	   970	    60	     7	     1	    20
SPECTRE1                        	    23	    80	    86	    23	    27	    77	    38	   970	    60	     7	     1	    20
SPECTRE2                        	    26	    90	    92	    26	    31	    87	    43	   970	    60	     7	     1	    20
SPECTREX1                       	    28	    99	   105	    28	    33	    92	    46	   970	    60	     7	     1	    20
SPECTREX2                       	    30	   130	   150	    35	    40	    94	    51	   970	    60	    10	     1	    20
SPELLGOLEMFIRE                  	    -1	   100	   120	    30	    50	    40	    70	   450	    75	     9	     1	    15
SPIDER1                         	     4	    12	    16	     2	     4	    16	     8	   600	    60	    10	     4	    16
SPIDER1SPEED                    	     7	    18	    20	     7	    10	    25	    12	  1800	    60	    10	     4	    16
SPIDER2                         	     5	    14	    16	     3	     7	    17	     9	   600	    60	    14	     4	    16
SPIDER3                         	     6	    20	    22	     4	     8	    23	    11	   600	    60	    14	     4	    16
SPIDER4                         	    15	    49	    51	    10	    15	    54	    26	   600	    60	    14	     4	    16
SPIDW                           	    -1	    70	    80	    50	    60	    80	    80	   800	    60	    14	     4	    16
SPIDX                           	    -1	    50	    60	    40	    50	    60	    90	   800	    60	    14	     4	    16
SPIDX1                          	    25	   158	   174	    30	    35	    60	    41	   800	    60	    14	     4	    16
SPIDX2                          	    28	   208	   225	    40	    50	    60	    46	   800	    60	    14	     4	    16
SPIDY                           	    -1	    70	    80	    50	    60	    80	   100	   800	    60	    14	     4	    16
TAVERNIER                       	     0	    10	    20	    25	    30	    50	    40	   400	    20	     2	     1	    20
TOWNGOBELIN                     	    -1	     5	    10	     0	     0	     1	    40	   500	    60	     0	     3	    16
TOWNTROLL                       	    -1	    15	    20	     0	     0	     1	    30	   450	    70	     0	     2	    20
TROLL1                          	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
TROLL2                          	    14	    51	    53	    14	    18	    50	    25	   450	    70	     9	    70	     9
TROLL3                          	    17	    57	    59	    17	    21	    59	    28	   450	    70	     9	     2	    20
TROLL4                          	    15	    53	    55	    15	    19	    54	    26	   450	    70	     9	     2	    20
TROLLB1                         	    16	    57	    59	    16	    20	    57	    26	   450	    75	     9	     2	    20
TROLLB2                         	    21	    71	    73	    21	    25	    70	    35	   450	    75	     9	     2	    20
TROLLB3                         	    24	    83	    85	    24	    28	    80	    40	   450	    70	     8	    75	     9
TROLLB4                         	    28	    97	    99	    28	    33	    92	    46	   450	    75	     9	     2	    20
VALET                           	     0	   100	   200	    25	    30	    50	    40	   400	    20	     2	     1	    20
VAMPIRE1                        	    19	    77	    79	    19	    23	    64	    32	   400	    50	     9	     1	    20
VAMPIRE2                        	    22	    85	    89	    22	    26	    74	    37	   400	    50	     9	     1	    20
VAMPIRE3                        	    27	   105	   111	    27	    32	    89	    44	   400	    50	     9	     1	    20
VAMPIRE4                        	    29	   104	   117	    29	    34	    92	    47	   400	    50	     9	     1	    20
VERSGEANT                       	    -1	   500	   800	    30	    73	    50	    60	   970	    60	     7	     1	    20
VYVERN1                         	    21	    73	    77	    21	    25	    70	    35	   400	    80	     8	     1	    20
VYVERN2                         	    20	    71	    77	    20	    24	    68	    34	   400	    80	     8	     1	    20
VYVERN3                         	    23	    77	    80	    23	    27	    77	    38	   400	    80	     8	     1	    20
VYVERN4                         	    25	    88	    94	    25	    30	    82	    41	   400	    80	     8	     1	    20
VYVERNDRAAK                     	    29	    97	   101	    29	    34	    92	    47	   800	    40	    10	    80	     6
WEREWOLF                        	    -1	   150	   200	    20	    40	    10	    70	   700	    50	     9	     1	    20
WIZA1                           	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
WIZA2                           	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
WIZA3                           	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
WIZA4                           	    13	    46	    48	    13	    17	    45	    23	   450	    70	     9	     2	    20
ZORAM                           	    -1	   250	   250	     6	    12	    35	    50	   400	    80	     9	     2	    12
